Order_ID,Order_Date,Delivery_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Discount,Shipping_Charge,GST,Total_Amount,Payment_Mode,Payment_Status,Delivery_Partner,Delivery_Status,Return_Reason,Customer_Rating
ORD000001,17-04-2025,,C333,Customer 200,Female,42,Bengaluru,Karnataka,P080,Oil,Grocery,Lakme,4,76115,5000,198,12,335616.96,Google Pay,Paid,Blue Dart,In Transit,,4
ORD000002,03-03-2024,,C199,Customer 386,Male,61,Mumbai,Maharashtra,P199,Sugar,Grocery,Puma,1,47497,0,295,12,53527.04,Wallet,Paid,XpressBees,Cancelled,,5
ORD000003,11-05-2024,15-05-2024,C460,Customer 415,Male,34,Chennai,Tamil Nadu,P137,Face Wash,Beauty,Samsung,3,46360,5000,126,18,158363.08,Net Banking,Paid,xpressbees,Returned,Size Issue,
ORD000004,15-12-2025,18-12-2025,C251,Customer 202,Male,69,Mumbai,Maharashtra,P145,Laptop,Electronics,Lakme,4,113831,0,20,18,537305.92,COD,Paid,xpressbees,Returned,Damaged,5
ORD000005,15-01-2025,22-01-2025,C117,Customer 219,Female,31,Chennai,Tamil Nadu,P169,Mixer,Home & Kitchen,Lakme,2,34143,1000,490,18,79975.68,Net Banking,Pending,XpressBees,Returned,Wrong Product,5
ORD000006,23-05-2024,,C282,Customer 167,Male,51,Chennai,Tamil Nadu,P043,Face Wash,Beauty,LG,1,90432,1000,81,5,93988.65,Card,Pending,Blue Dart,Cancelled,,4
ORD000007,05-05-2025,,C331,Customer 22,Female,42,Pune,Maharashtra,P003,Face Wash,Beauty,Nike,2,15129,5000,83,5,26608.05,UPI,,xpressbees,In Transit,,4
ORD000008,19-12-2024,,C358,Customer 307,Male,27,Delhi,Delhi,P033,Phone,Electronics,LG,4,22249,0,289,5,93749.25,COD,Paid,xpressbees,Cancelled,,3
ORD000009,15-09-2025,21-09-2025,C219,Customer 299,Male,50,pune,Maharashtra,P073,Shoes,Fashion,Boat,5,145284,500,232,5,762459.6,COD,,Delhivery,Delivered,,3
ORD000010,17-02-2025,,C441,Customer 19,Male,31,Mumbai,Maharashtra,P161,Shoes,Fashion,Puma,2,45306,0,490,5,95657.1,UPI,Pending,Blue Dart,Cancelled,,3
ORD000011,10-03-2024,,C271,Customer 393,Female,34,pune,Maharashtra,P030,Shampoo,Beauty,LG,2,105012,500,299,12,235001.76,COD,Pending,Blue Dart,Cancelled,,4
ORD000012,23-01-2025,,C478,Customer 64,Female,22,Delhi,Delhi,P056,Yoga Mat,Sports,Puma,2,141856,500,319,18,334566.58,Card,Paid,Blue Dart,In Transit,,5
ORD000013,17-12-2025,21-12-2025,C473,Customer 247,Female,26,Chennai,Tamil Nadu,P135,Lipstick,Beauty,Boat,5,25860,0,185,18,152792.3,Google Pay,,Blue Dart,Delivered,,5
